"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1197","have",709.2S,738S,16,"TRUMP:","Yes",1197,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1198","respect",709.2S,738S,16,"TRUMP:","Yes",1198,6.79,1.72,4.79,2.62,7.26,1.73,NA,7.64,1.29,5.19,2.39,6.89,2.11
"1199","for",709.2S,738S,16,"TRUMP:","Yes",1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1200","me",709.2S,738S,16,"TRUMP:","Yes",1200,NA,NA,NA,NA,NA,NA,NA,8.06,1.29,5.97,2.66,7.88,1.6
"1201","and",709.2S,738S,16,"TRUMP:","Yes",1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202","i",709.2S,738S,16,"TRUMP:","Yes",1202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203","will",709.2S,738S,16,"TRUMP:","Yes",1203,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"1204","tell",709.2S,738S,16,"TRUMP:","Yes",1204,5.27,1.39,3.86,2.06,4.94,2.18,NA,NA,NA,NA,NA,NA,NA
"1205","you",709.2S,738S,16,"TRUMP:","Yes",1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1206","no",709.2S,738S,16,"TRUMP:","Yes",1206,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"1207","i",709.2S,738S,16,"TRUMP:","Yes",1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1208","have",709.2S,738S,16,"TRUMP:","Yes",1208,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1209","not",709.2S,738S,16,"TRUMP:","Yes",1209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210","and",709.2S,738S,16,"TRUMP:","Yes",1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1211","i",709.2S,738S,16,"TRUMP:","Yes",1211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212","will",709.2S,738S,16,"TRUMP:","Yes",1212,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"1213","tell",709.2S,738S,16,"TRUMP:","Yes",1213,5.27,1.39,3.86,2.06,4.94,2.18,NA,NA,NA,NA,NA,NA,NA
"1214","you",709.2S,738S,16,"TRUMP:","Yes",1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1215","that",709.2S,738S,16,"TRUMP:","Yes",1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1216","i’m",709.2S,738S,16,"TRUMP:","Yes",1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1217","going",709.2S,738S,16,"TRUMP:","Yes",1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1218","to",709.2S,738S,16,"TRUMP:","Yes",1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1219","make",709.2S,738S,16,"TRUMP:","Yes",1219,6.09,1.6,3.67,2.33,6.22,2.32,NA,NA,NA,NA,NA,NA,NA
"1220","our",709.2S,738S,16,"TRUMP:","Yes",1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1221","country",709.2S,738S,16,"TRUMP:","Yes",1221,6.14,1.67,3.71,2.47,6.35,2.03,NA,5.93,1.91,5.26,1.93,5.96,1.93
"1222","safe",709.2S,738S,16,"TRUMP:","Yes",1222,7.7,1.57,3.14,2.6,7.21,1.88,1,7.07,1.9,3.86,2.72,5.81,2.06
"1223","we’re",709.2S,738S,16,"TRUMP:","Yes",1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1224","going",709.2S,738S,16,"TRUMP:","Yes",1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1225","to",709.2S,738S,16,"TRUMP:","Yes",1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1226","have",709.2S,738S,16,"TRUMP:","Yes",1226,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1227","borders",709.2S,738S,16,"TRUMP:","Yes",1227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1228","in",709.2S,738S,16,"TRUMP:","Yes",1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1229","our",709.2S,738S,16,"TRUMP:","Yes",1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1230","country",709.2S,738S,16,"TRUMP:","Yes",1230,6.14,1.67,3.71,2.47,6.35,2.03,NA,5.93,1.91,5.26,1.93,5.96,1.93
