"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"129","made",104S,267.1S,1,"Lehrer:","No",1,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","the",104S,267.1S,1,"Lehrer:","No",1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","final",104S,267.1S,1,"Lehrer:","No",1,131,4.56,1.34,4.4,2.95,3.94,2.21,NA,NA,NA,NA,NA,NA,NA
"132","selections",104S,267.1S,1,"Lehrer:","No",1,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","and",104S,267.1S,1,"Lehrer:","No",1,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","for",104S,267.1S,1,"Lehrer:","No",1,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","the",104S,267.1S,1,"Lehrer:","No",1,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","record",104S,267.1S,1,"Lehrer:","No",1,136,5.89,1.57,3.3,2.3,5.5,2.31,NA,NA,NA,NA,NA,NA,NA
"137","they",104S,267.1S,1,"Lehrer:","No",1,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","were",104S,267.1S,1,"Lehrer:","No",1,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","not",104S,267.1S,1,"Lehrer:","No",1,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","submitted",104S,267.1S,1,"Lehrer:","No",1,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","for",104S,267.1S,1,"Lehrer:","No",1,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","approval",104S,267.1S,1,"Lehrer:","No",1,142,6.75,1.68,3.52,2.77,6.63,2.19,2,NA,NA,NA,NA,NA,NA
"143","to",104S,267.1S,1,"Lehrer:","No",1,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","the",104S,267.1S,1,"Lehrer:","No",1,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","commission",104S,267.1S,1,"Lehrer:","No",1,145,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"146","or",104S,267.1S,1,"Lehrer:","No",1,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","the",104S,267.1S,1,"Lehrer:","No",1,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","candidates",104S,267.1S,1,"Lehrer:","No",1,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","the",104S,267.1S,1,"Lehrer:","No",1,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","segments",104S,267.1S,1,"Lehrer:","No",1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","as",104S,267.1S,1,"Lehrer:","No",1,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","i",104S,267.1S,1,"Lehrer:","No",1,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","announced",104S,267.1S,1,"Lehrer:","No",1,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","in",104S,267.1S,1,"Lehrer:","No",1,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","advance",104S,267.1S,1,"Lehrer:","No",1,155,6.11,2,4.62,2.54,6.12,2.05,NA,NA,NA,NA,NA,NA,NA
"156","will",104S,267.1S,1,"Lehrer:","No",1,156,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"157","be",104S,267.1S,1,"Lehrer:","No",1,157,6.18,1.44,3.43,2.31,5.5,2.85,NA,NA,NA,NA,NA,NA,NA
"158","three",104S,267.1S,1,"Lehrer:","No",1,158,5.43,1.08,3.38,2.09,5.45,2.06,NA,NA,NA,NA,NA,NA,NA
